☝🏿|index-pointing-up-dark-skin-tone|☝|index-pointing-up|true|1
✋|raised-hand|✋|raised-hand|true|1
✋🏻|raised-hand-light-skin-tone|✋|raised-hand|true|1
✋🏼|raised-hand-medium-light-skin-tone|✋|raised-hand|true|1
✋🏽|raised-hand-medium-skin-tone|✋|raised-hand|true|1
✋🏾|raised-hand-medium-dark-skin-tone|✋|raised-hand|true|1
✋🏿|raised-hand-dark-skin-tone|✋|raised-hand|true|1
🤚|raised-back-of-hand|🤚|raised-back-of-hand|true|1
🤚🏻|raised-back-of-hand-light-skin-tone|🤚|raised-back-of-hand|true|1
🤚🏼|raised-back-of-hand-medium-light-skin-tone|🤚|raised-back-of-hand|true|1
🤚🏽|raised-back-of-hand-medium-skin-tone|🤚|raised-back-of-hand|true|1
🤚🏾|raised-back-of-hand-medium-dark-skin-tone|🤚|raised-back-of-hand|true|1
🤚🏿|raised-back-of-hand-dark-skin-tone|🤚|raised-back-of-hand|true|1
🖐|hand-with-fingers-splayed|🖐|hand-with-fingers-splayed|true|1
🖐🏻|hand-with-fingers-splayed-light-skin-tone|🖐|hand-with-fingers-splayed|true|1
🖐🏼|hand-with-fingers-splayed-medium-light-skin-tone|🖐|hand-with-fingers-splayed|true|1
🖐🏽|hand-with-fingers-splayed-medium-skin-tone|🖐|hand-with-fingers-splayed|true|1
🖐🏾|hand-with-fingers-splayed-medium-dark-skin-tone|🖐|hand-with-fingers-splayed|true|1
🖐🏿|hand-with-fingers-splayed-dark-skin-tone|🖐|hand-with-fingers-splayed|true|1
🖖|vulcan-salute|🖖|vulcan-salute|true|1
🖖🏻|vulcan-salute-light-skin-tone|🖖|vulcan-salute|true|1
🖖🏼|vulcan-salute-medium-light-skin-tone|🖖|vulcan-salute|true|1
🖖🏽|vulcan-salute-medium-skin-tone|🖖|vulcan-salute|true|1
🖖🏾|vulcan-salute-medium-dark-skin-tone|🖖|vulcan-salute|true|1
🖖🏿|vulcan-salute-dark-skin-tone|🖖|vulcan-salute|true|1
👋|waving-hand|👋|waving-hand|true|1
👋🏻|waving-hand-light-skin-tone|👋|waving-hand|true|1
👋🏼|waving-hand-medium-light-skin-tone|👋|waving-hand|true|1
👋🏽|waving-hand-medium-skin-tone|👋|waving-hand|true|1
